timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,sensor_x,sensor_y,sensor_z
1754658748.1390314,0.05039888620376587,1.006395936012268,0.03758494555950165,84.82092591786459,-9.797165705272844,41.33153907176127,0.6509862264528505,0.1781591462047475,0.31350339144830053,0.667975896244973,-134.0,-154.6,226.42
1754658748.3463068,0.03569513559341431,1.0010008811950684,0.03173057734966278,82.32768227797906,-5.895453220789637,29.040446088281044,0.6460539336605559,0.1273326486375147,0.22126857540538317,0.7193335905717798,-103.0,-95.8,128.88
1754658748.554313,0.030379414558410645,0.992548942565918,0.006932780146598816,90.69751240899885,-6.017407011329802,-1.5867132666770951,0.7098382556876397,-0.04672085921816174,0.027618441682039217,0.7022705669923569,-120.0,-137.6,4.52
1754658748.7762654,0.03772395849227905,0.9964138269424438,0.0008782297372817993,107.58844070261127,-16.280458027993554,-18.27046964765989,0.7753604125877914,-0.2093953067333833,0.019969294417370307,0.5954586058768321,-157.2,-60.8,-68.15
1754658748.9810596,0.09768640995025635,0.9944218397140503,-0.022312983870506287,74.35510409884206,0.1134529488297754,4.523516826331353,0.6037847644480381,0.02463632019329503,0.03084646061322695,0.7961692162215643,-176.8,-89.8,78.81
1754658749.1870835,0.08777827024459839,1.0016032457351685,-0.028661951422691345,78.70005412383388,-12.178520294452149,27.429320809104006,0.6319507649993292,0.06978841877146158,0.24764316353440327,0.7310544218571939,-322.2,8.0,147.61
1754658749.4082572,0.02979201078414917,0.9983829259872437,-0.03394944965839386,92.68076350084671,-44.96780040939229,18.20348274145972,0.7018093668641968,-0.1549480241138533,0.3740898570926969,0.5860984168023236,-275.4,-19.0,32.95
1754658749.614031,0.0239715576171875,0.9982702732086182,-0.049465879797935486,122.49541006566872,-44.435372728380436,-21.61079991002092,0.7631258658982971,-0.33081962818699145,0.242144658839025,0.49956297836705094,-181.4,-2.2,-54.26
1754658749.8203595,0.07537734508514404,1.006598949432373,-0.058453842997550964,83.9112634551927,-25.107360209296612,-20.495864603393933,0.6134044611145749,-0.2751573460853293,0.013854458781669347,0.7401563067272117,-140.0,15.2,-70.09
1754658750.043028,0.10254496335983276,1.001691460609436,-0.07434792816638947,72.2863513951294,-18.30088992978981,12.255301327321957,0.5926805787325176,-0.06553121678089817,0.17836282883368437,0.7827017599191444,-178.4,6.8,1.94
